CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
LEXYL TRAVEL TECHNOLOGIES,01657620,1,1,2,0,76.50,0.00,6.98,83.48,0.00,1.00,76.50,83.48,0,0.00
HOTEL  ENGINE,01527540,1,3,2,0,267.00,0.00,23.37,290.37,0.00,3.00,89.00,96.79,0,0.00
DANFOSS,01293740,1,5,1,0,376.65,0.00,34.44,411.09,27.00,5.00,75.33,82.22,0,0.00
HOTELBEDS GROUP,01706710,1,3,2,0,184.92,0.00,18.03,202.95,332.00,3.00,61.64,67.65,0,0.00
CONSUMER CLUB,01711420,5,10,10,0,685.50,0.00,56.27,741.77,6.00,2.00,68.55,74.18,0,0.00
CLC LODGING II,01711610,16,35,16,0,2379.30,0.00,220.80,2600.10,3.00,2.44,67.98,74.29,2,124.60
LUXURY HOTEL AND LIFESTYLE COL,01790800,6,6,6,0,574.00,0.00,99.31,673.31,26.00,1.00,95.67,112.22,1,94.00
SCHNEIDER (TRUCKING COMPANY),01224560,14,14,14,0,954.99,0.00,72.92,1027.91,0.00,1.00,68.21,73.42,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01796740,1,1,2,0,75.65,0.00,2.00,77.65,-1.00,1.00,75.65,77.65,0,0.00
W2M TRAVEL DMCC,01740910,2,2,4,0,123.75,0.00,7.90,131.65,0.00,1.00,61.88,65.83,0,0.00
Hotel Tonight,01576500,3,3,6,0,228.65,0.00,20.86,249.51,-1.00,1.00,76.22,83.17,0,0.00
TESLA SPACEX,01654670,1,3,1,0,243.00,0.00,21.81,264.81,4.00,3.00,81.00,88.27,6,526.22
(EPS) EXPEDIA PARTNER SOLUTION,01846610,1,2,1,0,183.00,0.00,4.00,187.00,41.00,2.00,91.50,93.50,0,0.00
ROCKET TRAVEL,01851320,1,2,1,0,137.25,0.00,4.00,141.25,93.00,3.00,68.63,70.63,0,0.00
"HOTELBEDS USA, INC",01861670,15,24,27,0,1553.42,0.00,123.31,1676.73,6.00,1.60,64.73,69.86,0,0.00
TEK TRAVELS DMCC DBA TBO (DG),01864020,3,3,5,0,205.50,0.00,15.22,220.72,0.00,1.00,68.50,73.57,0,0.00
HP TURIZM VE TICARET ANONIM SI,01835960,1,3,2,2,222.75,0.00,20.49,243.24,116.00,3.00,74.25,81.08,0,0.00
OGQ - ONE GLOBAL TRAVEL,01874090,1,1,1,0,89.10,0.00,7.79,96.89,19.00,1.00,89.10,96.89,0,0.00
HOPPER (USA) INC. (DG/HPCT),01856310,9,18,16,0,1110.96,0.00,34.00,1144.96,0.00,2.00,61.72,63.61,3,212.25
MKS INSTRUMENTS,01505460,1,4,1,0,283.50,0.00,8.00,291.50,3.00,4.00,70.88,72.88,4,320.76
RICHIE BROS,01855110,1,6,1,0,440.05,0.00,40.61,480.66,2.00,6.00,73.34,80.11,5,460.00
MapCo LLC,1318,1,4,2,0,309.40,0.00,8.00,317.40,0.00,4.00,77.35,79.35,0,0.00
map co llc,1319,1,3,2,0,255.00,0.00,22.59,277.59,-1.00,3.00,85.00,92.53,0,0.00
NUITEE TRAVEL LIMITED (DERBY),01872150,1,1,1,0,67.50,0.00,6.39,73.89,2.00,1.00,67.50,73.89,0,0.00
