CompanyName,CompanyCode,Arrivals,NoOfNights,Adults,Children,RoomRev,FBRev,OtherRev,TotalRev,AvgLeadTime,AvgStayLength,ADR,ATR,LostNights,LostRev
ABC GLOBAL SERVICES,00385140,1,1,1,0,93.60,0.00,8.09,101.69,19.00,1.00,93.60,101.69,1,80.10
LEXYL TRAVEL TECHNOLOGIES,01657620,2,3,4,0,219.00,0.00,20.25,239.25,7.00,1.50,73.00,79.75,0,0.00
CLC LODGING II,01711610,10,29,10,0,2300.00,0.00,102.05,2402.05,-1.00,3.00,79.31,82.83,2,140.00
GLOBAL MEDICAL RESPONSE,01591010,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,92.34
(EPS) EXPEDIA PARTNER SOLUTION,01796740,1,1,1,0,68.31,0.00,52.00,120.31,1.00,1.00,68.31,120.31,0,0.00
LODGELINK,01713820,2,2,2,0,132.60,0.00,8.31,140.91,1.00,1.00,66.30,70.46,0,0.00
ENTERTAINMENT BENEFITS GROUP L,01791110,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,85.50
WEBBEDS TRADING AS SUNHOTELS,01664390,1,2,1,0,171.75,0.00,15.17,186.92,58.00,2.00,85.88,93.46,0,0.00
(EPS) EXPEDIA PARTNER SOLUTION,01846610,1,4,1,0,331.47,0.00,29.53,361.00,13.00,4.00,82.87,90.25,0,0.00
ROCKET TRAVEL,01851320,25,34,46,0,2130.03,0.00,94.97,2225.00,0.00,1.36,62.65,65.44,1,61.41
SOUTHWEST AIRLINES,01396420,1,1,2,0,76.14,0.00,6.94,83.08,1.00,1.00,76.14,83.08,0,0.00
HOPPER (USA) INC. (DG/HPCT),01856310,2,3,4,0,230.25,0.00,8.34,238.59,1.00,1.50,76.75,79.53,0,0.00
PRYOR LEARNING INC.,01406720,1,2,1,0,181.44,0.00,4.00,185.44,40.00,2.00,90.72,92.72,0,0.00
AVORIS CORPORATION EMPRESARIAI,01845390,1,1,2,0,66.75,0.00,6.34,73.09,0.00,1.00,66.75,73.09,0,0.00
BRINKER INTERNATIONAL,01265120,1,1,2,0,72.25,0.00,2.00,74.25,-1.00,1.00,72.25,74.25,0,0.00
